key_1,AC No,PS No,Point,Longitude,Latitide,key
4_26 ,4,26,26 - Dakshin Langkamura J.B. School (Pashchimangsha),91.25112911,23.85912395,4_26 
4_27 ,4,27,27 - Madhyabhuban Ban Uccha Vidyalaya(Pashchimangsha),91.2645903,23.86179204,4_27 
4_28 ,4,28,28 - Agartala Municipal Ward No-2 Office,91.257,23.86781,4_28 
4_29 ,4,29,29 - Pashchim Bhubanban High School,91.26455949,23.86195714,4_29 
4_3 ,4,3,3 - Sukanta Colony Anganwadi Kendra,91.24499085,23.89839939,4_3 
4_30 ,4,30,30 - Madhyabhuban Ban Uccha Vidyalaya(Purbangsha),91.27555511,23.8628353,4_30 
4_31 ,4,31,31 - Barjala H.S. Vidyalaya ( Pashchimangsha),91.275611,23.8629711,4_31 
4_32 ,4,32,32 - Barjala H.S. Vidyalaya( Purbangsha),91.27211,23.864981,4_32 
4_33 ,4,33,33 - Agartala Municipal Ward No-3 Office,91.2691,23.86213,4_33 
4_34 ,4,34,34 - Palpara Anganwadi Kendra,91.27545,23.862771,4_34 
4_35 ,4,35,35 - Barjala Uccha Vidyalaya (Uttar-Purbangsha),91.27332,23.8544427,4_35 
4_36 ,4,36,36 - Barjala Tehsil Office,91.28145035,23.85497679,4_36 
4_37 ,4,37,37 - Office of the Director; TRP & PTG; P.N. Complex; Gurkhabasti (W/W),91.28137148,23.8549683,4_37 
4_38 ,4,38,38 - Office of the Director; TRP & PTG; P.N. Complex; Gurkhabasti (E/W),91.27588278,23.8662851,4_38 
4_39 ,4,39,39 - Agriculture Sector Office Natunanagar,91.28256818,23.8610498,4_39 
4_4 ,4,4,4 - Ananganagar Bimala Sundari S.B. School (Purbangsha),91.25164203,23.89533639,4_4 
4_40 ,4,40,40 - Shrikrishna Mission H.S. School(Purbangsha),91.28209291,23.86113756,4_40 
4_41 ,4,41,41 - Shrikrishna Mission H.S. School(Pashchimangsha),91.28191529,23.86153848,4_41 
4_42 ,4,42,42 - Shrikrishna Mission H.S. School(Madhyaangsha),91.28377241,23.87095045,4_42 
4_43 ,4,43,43 - Bambo and Cane Development Institude ( Lichu Bagan ),91.27844,23.87417,4_43 
4_44 ,4,44,44 - Purba Durjoynagar Uccha Vidyalaya(W/W),91.29599,23.871993,4_44 
4_45 ,4,45,45 - Chanmari Uccha Vidyalaya (Uttarangsha),91.29519392,23.86548464,4_45 
4_46 ,4,46,46 - Office of the Deputy General Manager; TSECL;Capital Complex Division;79 Tilla(Purbangsha),91.29509202,23.86569566,4_46 
4_47 ,4,47,47 - Office of the Deputy General Manager; TSECL;Capital Complex Division;79 Tilla(Pashchimangsha),91.29636,23.87265,4_47 
4_48 ,4,48,48 - Channamari Uccha Vidyalaya(Uttar Purbangsha),91.29611532,23.87252362,4_48 
4_49 ,4,49,49 - Channamari Uccha Vidyalaya (Dakshin Purbangsha),91.2963623,23.87252389,4_49 
4_6 ,4,6,6 - Ananganar Bimala Sundari S.B. School (Pashchimangsha),91.25147,23.89538,4_6 
4_7 ,4,7,7 - Singarbil Panchayet Office,91.24492146,23.8912372,4_7 
4_8 ,4,8,8 - Sukhamoy H. S. School (Pashchimangsha),91.24786,23.88591,4_8 
4_9 ,4,9,9 - Durjoynagar S.B. School(Purbangsha),91.26102256,23.88255322,4_9 
40_1 ,40,1,1 - North Madhabnagar Senior Basic School,91.54531914,23.05671645,40_1 
40_10 ,40,10,10 - Srinagar H.S. School(W/W),91.55653044,23.00370624,40_10 
40_11 ,40,11,11 - Karimatilla High School,91.56611583,22.98594216,40_11 
40_12 ,40,12,12 - Amlighat High School,91.56601583,22.98544216,40_12 
40_14 ,40,14,14 - Joysing Para S.B. School,91.59121661,23.04696112,40_14 
40_15 ,40,15,15 - Dhanichandra Para High School,91.57067937,23.02880745,40_15 
40_16 ,40,16,16 - Harbatali High School,91.57067937,23.02880745,40_16 
40_17 ,40,17,17 - Shyam Singh Uccha Vidyalaya(Purbangsha),91.65000025,23.01160695,40_17 
40_18 ,40,18,18 - Joykumar Para Anganwadi Centre,91.64993099,23.01122419,40_18 
40_19 ,40,19,19 - Shyam Singh Uccha Vidyalaya(Pashchimangsha),91.68093389,23.04949606,40_19 
40_2 ,40,2,2 - Madhabnagar Dwadash Shreni Vidyalaya,91.545624,23.04601966,40_2 
40_20 ,40,20,20 - Gobindaram Para S.B. School,91.67379817,23.03725458,40_20 
40_21 ,40,21,21 - 62-Card Anganwadi Centre,91.67567873,23.02824883,40_21 
40_22 ,40,22,22 - East Harina Gaon Panchayet Office,91.67443762,23.01823889,40_22 
40_23 ,40,23,23 - Thaibungpara Junior Basic School,91.68669357,23.03299528,40_23 
40_24 ,40,24,24 - 1No Harina High School,91.6930464,22.99984537,40_24 
40_25 ,40,25,25 - Jalefa Ucchatara Madhyamik Vidyalaya,91.70687199,23.02488208,40_25 
40_26 ,40,26,26 - South Jalefa S.B. School,91.6646548,22.99637644,40_26 
40_27 ,40,27,27 - Sastri Colony Junior Basic School,91.67936094,23.00265943,40_27 
40_28 ,40,28,28 - Brajendranagar Girls High School,91.66983567,22.99244616,40_28 
40_3 ,40,3,3 - Samarendraganj H.S. School,91.55854775,23.03914801,40_3 
40_30 ,40,30,30 - Indira Colony Junior Basic School,91.66993567,22.99254606,40_30 
40_31 ,40,31,31 - Brajendranagar Ucchatara Madhyamik Vidyalaya,91.65871928,22.99042131,40_31 
40_32 ,40,32,32 - Kalyannagar High School,91.65850895,22.99042131,40_32 
40_33 ,40,33,33 - East Manughat Uccha Vidyalaya(Purbangsha),91.71734284,23.00766224,40_33 
40_34 ,40,34,34 - East Manughat Uccha Vidyalaya(Pashchimangsha),91.71374763,22.99939189,40_34 
40_35 ,40,35,35 - 2 No Jalefa Junior Basic School,91.71361898,22.99935651,40_35 
40_36 ,40,36,36 - North Doulbari S.B. School(Purbangsha),91.7173611,22.99934652,40_36 
40_37 ,40,37,37 - North Doulbari S.B. School(Pashchimangsha),91.72100223,23.01427488,40_37 
40_38 ,40,38,38 - Daulbari High School,91.72100223,23.02612808,40_38 
40_39 ,40,39,39 - Vivekananda Palli Gaon Panchayet Office,91.69573378,23.03211591,40_39 
